Date,DLTR,BKNG,CTSH,VRTX,FISV,AMD,ADP,CSX,EBAY,WBA,EXC
2002-01-02,10.199999809265137,35.099998474121094,1.5983330011367798,24.540000915527344,10.72249984741211,16.389999389648438,46.49734878540039,1.974444031715393,6.962331771850586,33.08000183105469,17.28958511352539
2002-01-03,10.116666793823242,35.52000045776367,1.6370830535888672,24.170000076293945,10.625,19.3700008392334,46.47355651855469,2.0805559158325195,7.154881954193115,34.40999984741211,17.261056900024414
2002-01-04,10.066666603088379,35.279998779296875,1.6354169845581055,23.950000762939453,10.462499618530273,20.0,46.394248962402344,2.1388890743255615,7.207491874694824,34.560001373291016,17.079172134399414
2002-01-07,9.91333293914795,35.279998779296875,1.571666955947876,23.790000915527344,10.550000190734863,19.979999542236328,45.40291976928711,2.152221918106079,7.028619766235352,34.880001068115234,17.136234283447266
2002-01-08,9.533332824707031,33.41999816894531,1.6166670322418213,23.280000686645508,10.537500381469727,19.899999618530273,45.36326599121094,2.100555896759033,7.106481075286865,34.77000045776367,16.868759155273438
2002-01-09,9.583333015441895,33.720001220703125,1.5895830392837524,23.260000228881836,10.387499809265137,19.09000015258789,44.94294357299805,2.0672221183776855,7.038088798522949,35.150001525878906,16.60128402709961
2002-01-10,9.649999618530273,34.560001373291016,1.5283329486846924,23.56999969482422,10.425000190734863,18.639999389648438,45.339473724365234,2.055000066757202,6.943391799926758,34.9900016784668,16.893722534179688
2002-01-11,9.369999885559082,34.2599983215332,1.5625,23.760000228881836,10.5,19.149999618530273,45.133277893066406,2.0138890743255615,6.720327854156494,34.400001525878906,16.854494094848633
2002-01-14,9.176667213439941,34.2599983215332,1.5829169750213623,22.399999618530273,10.3774995803833,19.610000610351562,45.410850524902344,1.967221975326538,6.645623207092285,35.470001220703125,17.207561492919922
2002-01-15,9.30666732788086,35.52000045776367,1.5512499809265137,22.40999984741211,10.717499732971191,19.149999618530273,46.17219161987305,1.9583330154418945,6.737163066864014,35.13999938964844,17.171897888183594
2002-01-16,9.703332901000977,33.779998779296875,1.537500023841858,21.440000534057617,10.427499771118164,17.899999618530273,45.712215423583984,1.949444055557251,6.306818008422852,35.43000030517578,17.15406608581543
2002-01-17,9.966667175292969,33.84000015258789,1.5708329677581787,21.700000762939453,10.802499771118164,17.280000686645508,45.775657653808594,2.0361111164093018,6.482533931732178,35.540000915527344,16.761768341064453
2002-01-18,9.696666717529297,33.119998931884766,1.4850000143051147,20.93000030517578,10.4975004196167,16.809999465942383,45.450504302978516,2.032778024673462,6.332070827484131,35.40999984741211,16.69400978088379
2002-01-22,9.733332633972168,34.619998931884766,1.4958330392837524,20.8799991607666,10.399999618530273,16.290000915527344,44.8160514831543,2.081110954284668,6.255260944366455,36.25,16.415834426879883
2002-01-23,9.649999618530273,35.279998779296875,1.4983329772949219,21.350000381469727,10.824999809265137,16.700000762939453,44.3719367980957,2.1816670894622803,6.217381954193115,35.7599983215332,16.50855827331543
2002-01-24,9.686667442321777,34.68000030517578,1.5208330154418945,20.979999542236328,10.8125,16.1299991607666,44.3719367980957,2.1472220420837402,6.302608966827393,36.56999969482422,16.71183967590332
2002-01-25,10.926667213439941,34.79999923706055,1.5416669845581055,21.420000076293945,10.625,16.299999237060547,44.87156677246094,2.1772220134735107,6.381524085998535,36.59000015258789,16.7225399017334
2002-01-28,11.076666831970215,37.91999816894531,1.5416669845581055,20.709999084472656,10.592499732971191,16.360000610351562,44.760536193847656,2.201667070388794,6.281566143035889,36.65999984741211,16.733238220214844
2002-01-29,10.920000076293945,35.880001068115234,1.40625,20.450000762939453,10.234999656677246,15.890000343322754,41.397945404052734,2.141666889190674,6.241581916809082,35.95000076293945,16.68330955505371
2002-01-30,11.0,36.060001373291016,1.4333330392837524,20.059999465942383,10.47249984741211,15.760000228881836,42.76201629638672,2.1711111068725586,6.071127891540527,36.290000915527344,17.12196922302246
2002-01-31,11.00333309173584,37.79999923706055,1.5295829772949219,19.739999771118164,10.609999656677246,16.049999237060547,42.825462341308594,2.222222089767456,6.210017204284668,36.279998779296875,17.56062889099121
2002-02-01,10.983332633972168,37.91999816894531,1.5408329963684082,20.299999237060547,10.220000267028809,15.800000190734863,42.46858215332031,2.2049999237060547,6.107954978942871,35.540000915527344,17.87803077697754
2002-02-04,10.510000228881836,28.979999542236328,1.440000057220459,19.809999465942383,10.282500267028809,15.050000190734863,41.95309066772461,2.1766669750213623,5.8459601402282715,36.86000061035156,18.006418228149414
2002-02-05,10.550000190734863,24.479999542236328,1.4708329439163208,18.799999237060547,10.412500381469727,14.579999923706055,42.44478988647461,2.157778024673462,5.7344279289245605,37.849998474121094,17.93865966796875
2002-02-06,10.666666984558105,24.0,1.4095829725265503,18.489999771118164,10.5,14.050000190734863,42.55582046508789,2.105556011199951,5.808081150054932,36.90999984741211,17.831668853759766
2002-02-07,10.449999809265137,24.239999771118164,1.3754169940948486,18.940000534057617,10.3100004196167,13.489999771118164,42.825462341308594,2.0738890171051025,5.782827854156494,36.9900016784668,18.0456485748291
2002-02-08,10.430000305175781,24.959999084472656,1.4445830583572388,20.700000762939453,10.600000381469727,15.25,43.174407958984375,2.086667060852051,6.166876792907715,37.099998474121094,18.04921531677246
2002-02-11,10.930000305175781,25.200000762939453,1.4075000286102295,21.760000228881836,10.295000076293945,15.0,43.25371551513672,2.157778024673462,6.026936054229736,37.70000076293945,18.13837432861328
2002-02-12,10.696666717529297,24.719999313354492,1.4220830202102661,23.68000030517578,10.267499923706055,15.119999885559082,42.825462341308594,2.1405560970306396,6.107954978942871,37.849998474121094,18.4593448638916
